,perturbation,clean_data_test_score,corrupted_data_test_score,cleaned_data_test_score,ppp_score_corrupted,ppp_score_cleaned,cleaner_results_ppp,cleaner_results_true
0,"SwapValues: {'fraction': 0.2, 'column': 'crop-hist'}",0.9562043795620438,0.9635036496350365,0.9635036496350365,0.968009768009768,0.968009768009768,"[0.968009768009768, 0.9675213675213675, 0.9658119658119658, 0.9617826617826618]","[0.9635036496350365, 0.8905109489051095, 0.8029197080291971, 0.7883211678832117]"
1,"SwapValues: {'fraction': 0.7, 'column': 'number_customer_service_calls'}",0.867,0.846,0.846,0.8354833333333335,0.8552666666666666,"[0.8354833333333335, 0.8552666666666666, 0.8354833333333335, 0.8530333333333332]","[0.846, 0.846, 0.846, 0.846]"
2,"Scaling: {'fraction': 0.9, 'columns': ['V4']}",0.95,0.95,0.95,0.8616666666666668,0.8616666666666668,"[0.8616666666666668, 0.8616666666666668, 0.8616666666666668, 0.8616666666666668]","[0.95, 0.95, 0.95, 0.95]"
3,"Scaling: {'fraction': 0.2, 'columns': ['rectal_temperature']}",0.8513513513513513,0.7972972972972973,0.7567567567567568,0.9326530612244899,0.9333333333333335,"[0.9326530612244899, 0.9306122448979592, 0.9333333333333335, 0.9163265306122448]","[0.7972972972972973, 0.7972972972972973, 0.7567567567567568, 0.7702702702702703]"
4,"SwapValues: {'fraction': 0.2, 'column': 'Resting_ecg'}",0.8360655737704918,0.8032786885245902,0.7213114754098361,0.8319559228650139,0.8369146005509642,"[0.8319559228650139, 0.8134986225895317, 0.8319559228650139, 0.8369146005509642]","[0.8032786885245902, 0.7868852459016393, 0.8032786885245902, 0.7213114754098361]"
5,"Scaling: {'fraction': 0.7, 'columns': ['V11']}",0.8205128205128205,0.38461538461538464,0.358974358974359,0.4418803418803419,0.4504273504273505,"[0.4418803418803419, 0.4504273504273505, 0.4418803418803419, 0.42435897435897446]","[0.38461538461538464, 0.358974358974359, 0.38461538461538464, 0.358974358974359]"
6,"SwapValues: {'fraction': 0.9, 'column': 'plant-stand'}",0.948905109489051,0.9562043795620438,0.9562043795620438,0.9606837606837607,0.9606837606837607,"[0.9606837606837607, 0.95995115995116, 0.9533577533577534, 0.9537240537240538]","[0.9562043795620438, 0.8905109489051095, 0.7883211678832117, 0.781021897810219]"
7,"Outliers: {'fraction': 0.5, 'columns': ['V35']}",0.9911764705882353,0.12941176470588237,0.12941176470588237,0.14465686274509804,0.14465686274509804,"[0.14465686274509804, 0.10736519607843138, 0.14465686274509804, 0.10736519607843138]","[0.12941176470588237, 0.11568627450980393, 0.12941176470588237, 0.11568627450980393]"
8,"SwapValues: {'fraction': 0.9, 'column': 'ring-type'}",1.0,1.0,1.0,0.9998153562086476,0.9998153562086476,"[0.9998153562086476, 0.9592860440067703, 0.9978150484689954, 0.9860901677181104]","[1.0, 0.9193846153846154, 0.9981538461538462, 0.9790769230769231]"
9,"Outliers: {'fraction': 0.9, 'columns': ['slope']}",0.8518518518518519,0.8333333333333334,0.7592592592592593,0.7987654320987654,0.8333333333333336,"[0.7987654320987654, 0.774074074074074, 0.7987654320987654, 0.8333333333333336]","[0.8333333333333334, 0.7592592592592593, 0.8333333333333334, 0.7592592592592593]"
