,perturbation,clean_data_test_score,corrupted_data_test_score,cleaned_data_test_score,ppp_score_corrupted,ppp_score_cleaned,cleaner_results_ppp,cleaner_results_true
0,"SwapValues: {'fraction': 0.7, 'column': 'T4U_measured'}",0.9774834437086093,0.8079470198675497,0.8039735099337748,0.824163075903215,0.8334106728538283,"[0.824163075903215, 0.8334106728538283, 0.8207711855043642, 0.8332780908186941]","[0.8079470198675497, 0.8039735099337748, 0.8039735099337748, 0.8013245033112583]"
1,"Scaling: {'fraction': 0.7, 'columns': ['V7']}",0.9845758354755784,0.9897172236503856,0.9897172236503856,0.9987113402061852,0.9987113402061852,"[0.9987113402061852, 0.965807560137457, 0.9987113402061852, 0.9330326460481099]","[0.9897172236503856, 0.9588688946015425, 0.9897172236503856, 0.9305912596401028]"
2,"SwapValues: {'fraction': 0.7, 'column': 'leaf-shread'}",0.9124087591240876,0.9124087591240876,0.9124087591240876,0.9891330891330892,0.9891330891330892,"[0.9891330891330892, 0.9880341880341881, 0.9875457875457876, 0.9877899877899878]","[0.9124087591240876, 0.8321167883211679, 0.7664233576642335, 0.7299270072992701]"
3,"Scaling: {'fraction': 0.7, 'columns': ['s']}",0.8205128205128205,0.8205128205128205,0.8205128205128205,0.9909677419354839,0.9909677419354839,"[0.9909677419354839, 0.9890322580645161, 0.9909677419354839, 0.9877419354838711]","[0.8205128205128205, 0.8461538461538461, 0.8205128205128205, 0.8461538461538461]"
4,"MissingValues: {'column': 'Max_heart_rate', 'fraction': 0.5, 'na_value': 0, 'missingness': 'MNAR'}",0.8032786885245902,0.8032786885245902,0.8032786885245902,0.9236914600550963,0.9236914600550963,"[0.9236914600550963, 0.8977961432506886, 0.9236914600550963, 0.9016528925619836]","[0.8032786885245902, 0.7540983606557377, 0.8032786885245902, 0.819672131147541]"
5,"Outliers: {'fraction': 0.9, 'columns': ['V21']}",0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9833333333333331,0.9833333333333331,"[0.9833333333333331, 0.9820512820512819, 0.9833333333333331, 0.9833333333333331]","[0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231]"
6,"SwapValues: {'fraction': 0.5, 'column': 'international_plan'}",0.961,0.951,0.882,0.9545833333333332,0.96815,"[0.9545833333333332, 0.96815, 0.9545833333333332, 0.9480666666666665]","[0.951, 0.882, 0.951, 0.932]"
7,"Scaling: {'fraction': 0.7, 'columns': ['V5']}",0.9,0.9,0.9,0.9275,0.92875,"[0.9275, 0.92875, 0.9275, 0.9262500000000001]","[0.9, 0.9, 0.9, 0.9]"
8,"SwapValues: {'fraction': 0.9, 'column': 'ring-type'}",1.0,1.0,1.0,1.0,1.0,"[1.0, 0.9938067394983843, 1.0, 0.9506385597784275]","[1.0, 0.9815384615384616, 1.0, 0.9181538461538462]"
9,"Scaling: {'fraction': 0.9, 'columns': ['exercise_induced_angina']}",0.8148148148148148,0.8148148148148148,0.7592592592592593,0.8787037037037037,0.9370370370370369,"[0.8787037037037037, 0.9370370370370369, 0.8787037037037037, 0.9046296296296297]","[0.8148148148148148, 0.7592592592592593, 0.8148148148148148, 0.7962962962962963]"
